"export-plot data (NetLogo 6.2.2)"
"epiDEM_Basic.nlogo"
"05/04/2022 15:53:48:870 -0600"

"MODEL SETTINGS"
"average-recovery-time","infection-chance","initial-people","recovery-chance"
"6","80","1050","100"

"""Infection and Recovery Rates"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","13.8","0","8.29","true","""Infection Rate""","true","2"

"pen name","pen down?","mode","interval","color","x"
"""Infection Rate""","true","0","1","15","11"
"""Recovery Rate""","true","0","1","55","11"

"""Infection Rate""",,,,"""Recovery Rate"""
"x","y","color","pen down?","x","y","color","pen down?"
"0","0","15","true","0","0","55","true"
"1","7.533333333333333","15","true","1","0.4","55","true"
"2","3.319672131147541","15","true","2","0.27049180327868855","55","true"
"3","0.9251012145748988","15","true","3","0.29554655870445345","55","true"
"4","0.07453416149068323","15","true","4","0.2906832298136646","55","true"
"5","0","15","true","5","0.31695721077654515","55","true"
"6","0","15","true","6","0.44547563805104406","55","true"
"7","0","15","true","7","0.5230125523012552","55","true"
"8","0","15","true","8","0.5964912280701754","55","true"
"9","0","15","true","9","0.717391304347826","55","true"
"10","0","15","true","10","0.7692307692307693","55","true"
"11","0","15","true","11","0","55","true"
