"export-plot data (NetLogo 6.2.2)"
"epiDEM_Basic.nlogo"
"04/21/2022 13:41:59:793 -0600"

"MODEL SETTINGS"
"average-recovery-time","infection-chance","initial-people","recovery-chance"
"150","30","355","60"

"""Populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","146","0","372","true","""Infected""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""Infected""","true","0","1","15","143"
"""Recovered""","true","0","1","55","143"
"""Susceptible""","true","0","1","6","143"

"""Infected""",,,,"""Recovered""",,,,"""Susceptible"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","17","15","true","0","0","55","true","0","338","6","true"
"1","35","15","true","1","4","55","true","1","316","6","true"
"2","72","15","true","2","6","55","true","2","277","6","true"
"3","127","15","true","3","13","55","true","3","215","6","true"
"4","178","15","true","4","20","55","true","4","157","6","true"
"5","225","15","true","5","30","55","true","5","100","6","true"
"6","260","15","true","6","38","55","true","6","57","6","true"
"7","280","15","true","7","49","55","true","7","26","6","true"
"8","280","15","true","8","59","55","true","8","16","6","true"
"9","275","15","true","9","71","55","true","9","9","6","true"
"10","278","15","true","10","73","55","true","10","4","6","true"
"11","275","15","true","11","77","55","true","11","3","6","true"
"12","274","15","true","12","81","55","true","12","0","6","true"
"13","268","15","true","13","87","55","true","13","0","6","true"
"14","265","15","true","14","90","55","true","14","0","6","true"
"15","260","15","true","15","95","55","true","15","0","6","true"
"16","257","15","true","16","98","55","true","16","0","6","true"
"17","257","15","true","17","98","55","true","17","0","6","true"
"18","253","15","true","18","102","55","true","18","0","6","true"
"19","251","15","true","19","104","55","true","19","0","6","true"
"20","248","15","true","20","107","55","true","20","0","6","true"
"21","245","15","true","21","110","55","true","21","0","6","true"
"22","243","15","true","22","112","55","true","22","0","6","true"
"23","239","15","true","23","116","55","true","23","0","6","true"
"24","236","15","true","24","119","55","true","24","0","6","true"
"25","234","15","true","25","121","55","true","25","0","6","true"
