"export-plot data (NetLogo 6.2.2)"
"epiDEM_Basic.nlogo"
"04/21/2022 16:49:37:551 -0600"

"MODEL SETTINGS"
"average-recovery-time","infection-chance","initial-people","recovery-chance"
"50","30","160","100"

"""Populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","92.5","0","168","true","""Infected""","true","3"

"pen name","pen down?","mode","interval","color","x"
"""Infected""","true","0","1","15","83"
"""Recovered""","true","0","1","55","83"
"""Susceptible""","true","0","1","6","83"

"""Infected""",,,,"""Recovered""",,,,"""Susceptible"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","7","15","true","0","0","55","true","0","153","6","true"
"1","12","15","true","1","0","55","true","1","148","6","true"
"2","21","15","true","2","1","55","true","2","138","6","true"
"3","25","15","true","3","2","55","true","3","133","6","true"
"4","38","15","true","4","2","55","true","4","120","6","true"
"5","50","15","true","5","3","55","true","5","107","6","true"
"6","56","15","true","6","5","55","true","6","99","6","true"
"7","55","15","true","7","14","55","true","7","91","6","true"
"8","59","15","true","8","18","55","true","8","83","6","true"
"9","63","15","true","9","23","55","true","9","74","6","true"
"10","63","15","true","10","26","55","true","10","71","6","true"
"11","62","15","true","11","32","55","true","11","66","6","true"
"12","68","15","true","12","32","55","true","12","60","6","true"
"13","65","15","true","13","39","55","true","13","56","6","true"
"14","67","15","true","14","40","55","true","14","53","6","true"
"15","65","15","true","15","45","55","true","15","50","6","true"
"16","62","15","true","16","49","55","true","16","49","6","true"
"17","62","15","true","17","54","55","true","17","44","6","true"
"18","57","15","true","18","60","55","true","18","43","6","true"
"19","52","15","true","19","66","55","true","19","42","6","true"
"20","51","15","true","20","70","55","true","20","39","6","true"
"21","47","15","true","21","74","55","true","21","39","6","true"
"22","46","15","true","22","76","55","true","22","38","6","true"
"23","46","15","true","23","79","55","true","23","35","6","true"
"24","46","15","true","24","84","55","true","24","30","6","true"
"25","47","15","true","25","87","55","true","25","26","6","true"
"26","43","15","true","26","91","55","true","26","26","6","true"
"27","42","15","true","27","93","55","true","27","25","6","true"
"28","42","15","true","28","97","55","true","28","21","6","true"
"29","39","15","true","29","102","55","true","29","19","6","true"
"30","34","15","true","30","107","55","true","30","19","6","true"
"31","34","15","true","31","107","55","true","31","19","6","true"
"32","34","15","true","32","107","55","true","32","19","6","true"
"33","30","15","true","33","111","55","true","33","19","6","true"
"34","29","15","true","34","113","55","true","34","18","6","true"
"35","27","15","true","35","115","55","true","35","18","6","true"
"36","27","15","true","36","116","55","true","36","17","6","true"
"37","25","15","true","37","118","55","true","37","17","6","true"
"38","22","15","true","38","121","55","true","38","17","6","true"
"39","24","15","true","39","123","55","true","39","13","6","true"
"40","22","15","true","40","125","55","true","40","13","6","true"
"41","21","15","true","41","126","55","true","41","13","6","true"
"42","20","15","true","42","127","55","true","42","13","6","true"
"43","15","15","true","43","132","55","true","43","13","6","true"
"44","13","15","true","44","134","55","true","44","13","6","true"
"45","13","15","true","45","136","55","true","45","11","6","true"
"46","13","15","true","46","137","55","true","46","10","6","true"
"47","13","15","true","47","137","55","true","47","10","6","true"
"48","13","15","true","48","137","55","true","48","10","6","true"
"49","12","15","true","49","138","55","true","49","10","6","true"
"50","12","15","true","50","138","55","true","50","10","6","true"
"51","10","15","true","51","140","55","true","51","10","6","true"
"52","10","15","true","52","140","55","true","52","10","6","true"
"53","10","15","true","53","140","55","true","53","10","6","true"
"54","10","15","true","54","140","55","true","54","10","6","true"
"55","10","15","true","55","141","55","true","55","9","6","true"
"56","10","15","true","56","141","55","true","56","9","6","true"
"57","9","15","true","57","142","55","true","57","9","6","true"
"58","8","15","true","58","143","55","true","58","9","6","true"
"59","8","15","true","59","143","55","true","59","9","6","true"
"60","8","15","true","60","143","55","true","60","9","6","true"
"61","7","15","true","61","144","55","true","61","9","6","true"
"62","5","15","true","62","146","55","true","62","9","6","true"
"63","4","15","true","63","147","55","true","63","9","6","true"
"64","4","15","true","64","147","55","true","64","9","6","true"
"65","4","15","true","65","147","55","true","65","9","6","true"
"66","4","15","true","66","147","55","true","66","9","6","true"
"67","4","15","true","67","147","55","true","67","9","6","true"
"68","4","15","true","68","147","55","true","68","9","6","true"
"69","3","15","true","69","148","55","true","69","9","6","true"
"70","3","15","true","70","148","55","true","70","9","6","true"
"71","3","15","true","71","148","55","true","71","9","6","true"
"72","2","15","true","72","149","55","true","72","9","6","true"
"73","2","15","true","73","149","55","true","73","9","6","true"
"74","1","15","true","74","150","55","true","74","9","6","true"
"75","1","15","true","75","150","55","true","75","9","6","true"
"76","1","15","true","76","150","55","true","76","9","6","true"
"77","1","15","true","77","150","55","true","77","9","6","true"
"78","1","15","true","78","150","55","true","78","9","6","true"
"79","1","15","true","79","150","55","true","79","9","6","true"
"80","1","15","true","80","150","55","true","80","9","6","true"
"81","1","15","true","81","150","55","true","81","9","6","true"
"82","1","15","true","82","150","55","true","82","9","6","true"
"83","0","15","true","83","151","55","true","83","9","6","true"
